question_number,question,correct_answer,source_folder,ai_answer_20260725_005651,ai_answer_20260725_011226,ai_answer_20260725_120724,ai_answer_20260725_132248,ai_answer_20260725_132835
1,"Cho ma trận hiệp phương sai S của dữ liệu đã chuẩn hoá có các trị riêng λ1=5,λ2=2,λ3=1,λ4=0.5\lambda_1=5, \lambda_2=2, \lambda_3=1, \lambda_4=0.5λ1​=5,λ2​=2,λ3​=1,λ4​=0.5 (giảm dần). Nếu chọn K=2K=2K=2 thành phần chính, tỉ lệ phương sai được giữ lại là bao nhiêu?",A,train_fix,A,A,"A,B",A,A
2,Tên gọi riêng cho đỉnh bậc 0 và đỉnh bậc 1 trong đồ thị vô hướng là?,B,train_fix,D,B,"B,D",B,B
3,Cơ chế lưu trữ năng lượng của siêu tụ điện dựa trên gì?,B,train_fix,B,B,B,B,B
4,Một pixel của ảnh xám có thể nhận giá trị tối thiểu và tối đa lần lượt là?,C,train_fix,C,C,C,C,C
5,"Nếu trong quá trình khoan, cao độ dung dịch khoan phải luôn cao hơn mực nước ngầm ít nhất 1,5 m, giả sử mực nước ngầm ở -10 m thì cao độ dung dịch khoan tối thiểu phải đạt bao nhiêu?",B,train_fix,B,B,B,B,B
6,Nội dung chính của bài báo là gì?,B,train_fix,B,B,B,B,B
7,SASRec và BERT4Rec khác nhau chủ yếu ở những điểm nào?,B,train_fix,B,B,B,B,B
8,"Trong giải thuật DES, kích thước hiệu dụng của khóa là bao nhiêu bit?",B,train_fix,B,B,B,B,B
9,Nội dung chính của phần 1 tài liệu Public_107 về Gradient Descent là gì?,D,train_fix,D,D,"A,D",D,D
10,Cảm biến nào giúp robot điều chỉnh lực cầm nắm chính xác?,D,train_fix,D,D,D,D,D
11,"Theo tài liệu, để thêm nhãn dữ liệu trong Tableau, bước đầu tiên cần thực hiện là gì?",B,train_fix,B,B,B,B,B
12,Mục đích chính của việc xây dựng Cổng kết nối dịch vụ chứng thực chữ ký số công cộng là gì?,B,train_fix,B,B,B,B,B
13,Thông tư Public_257 quy định những yêu cầu kỹ thuật nào đối với phần mềm ký số và phần mềm kiểm tra chữ ký số?,A,train_fix,A,A,A,A,A
14,Tác dụng bất lợi và chống chỉ định khi sử dụng thiết bị AirStart 10 ?,A,train_fix,A,A,"A,B,C",A,A
15,Đâu không phải khẳng định đúng về các đặc tính của thuật toán được đề cập trong tài liệu Public_049?,C,train_fix,C,C,C,C,C
16,"Theo tài liệu Public_163, phiên bản TLS nào được sử dụng rộng rãi nhất?",C,train_fix,C,C,C,C,C
17,Thách thức lớn nhất để triển khai đại trà giao thông hydro?,A,train_fix,A,A,A,A,A
18,Mô hình nào sử dụng self-attention để thay thế RNN trong hệ gợi ý tuần tự?,B,train_fix,B,B,"B,C","B,C","B,C"
19,"Trong Phụ lục II, tiêu chí nào xác định tính toàn vẹn của thông điệp dữ liệu đã ký số?",C,train_fix,B,B,B,B,B
20,"Giải thích nguyên lý pin nhiên liệu hydro và ứng dụng trong giao thông, đồng thời nêu lợi ích và thách thức hạ tầng.",A,train_fix,A,A,A,A,A
21,"Cơ quan kiểm tra nhà nước về chất lượng sản phẩm, hàng hóa vật liệu xây dựng ở địa phương là đơn vị nào?",B,train_fix,B,B,B,B,B
22,"Theo tài liệu Public_058, đâu là một tên gọi khác của kiểm thử chức năng?",B,train_fix,B,B,B,B,B
23,Nội dung chính của văn bản Public_263 là gì?,A,train_fix,A,A,A,A,A
24,"Theo số liệu trong tài liệu, đến nay ngành giáo dục đã số hóa dữ liệu của khoảng bao nhiêu giáo viên và học sinh?",D,train_fix,D,D,D,D,D
25,"Theo tài liệu Public_069, những đặc điểm quan trọng nào của dữ liệu chuỗi thời gian cần được xem xét trong việc dự báo?",C,train_fix,C,C,"C,D",C,C
26,"Nếu dữ liệu chuỗi thời gian từ nhiều cảm biến tương quan với nhau được nhóm lại và nén (multi-series group compression), lợi ích nào có thể có được?",A,train_fix,A,A,A,A,A
27,Mục tiêu của tấn công DoS là gì?,A,train_fix,A,A,A,A,A
28,"Theo tài liệu Public_002, học phần Bảo mật Web trang bị kiến thức về bộ rủi ro phổ biến nào?",A,train_fix,A,A,A,A,A
29,"Với hash `0160375e19e606d06f672be6e43f70fa70093d2a30031affd2929a5c446d07c1`, URL nào đã được tệp tương ứng truy cập vào ngày 03-08-2022?",C,train_fix,B,B,B,A,B
30,Đâu là cấu trúc heap ta nên dùng nếu muốn sắp xếp mảng giảm dần?,A,train_fix,A,A,B,B,B
31,Cảm biến nào cung cấp bản đồ 3D chính xác cho xe tự hành?,B,train_fix,B,B,B,B,B
32,"Theo tài liệu Public_036, có bao nhiêu loại bài toán segmentation và đó là những loại nào?",C,train_fix,C,C,C,C,C
33,Quy chuẩn trong tài liệu Public_284 không áp dụng cho loại hàng hóa nào sau đây?,B,train_fix,B,B,"B,C",B,B
34,"Transactional outbox pattern lưu message ở đâu, và thành phần nào chịu trách nhiệm đọc & publish message đó?",B,train_fix,B,B,B,B,B
35,Nội dung chính của tài liệu Public_115 đề xuất điều gì?,C,train_fix,C,C,C,C,C
