Question,A,B,C,D,source_folder,num_answers
"Cho ma trận hiệp phương sai S của dữ liệu đã chuẩn hoá có các trị riêng λ1=5,λ2=2,λ3=1,λ4=0.5\lambda_1=5, \lambda_2=2, \lambda_3=1, \lambda_4=0.5λ1​=5,λ2​=2,λ3​=1,λ4​=0.5 (giảm dần). Nếu chọn K=2K=2K=2 thành phần chính, tỉ lệ phương sai được giữ lại là bao nhiêu?",0.824,0.588,1.167,0.235,train_fix,1
Tên gọi riêng cho đỉnh bậc 0 và đỉnh bậc 1 trong đồ thị vô hướng là?,"Đỉnh cô đơn, đỉnh lẻ","Đỉnh cô lập, đỉnh treo","Đỉnh cô đơn, đỉnh treo","Đỉnh cô lập, đỉnh lẻ",train_fix,1
Cơ chế lưu trữ năng lượng của siêu tụ điện dựa trên gì?,Phản ứng hóa học,Tích tụ ion ở bề mặt điện cực tạo điện trường,Phóng xạ,Đốt cháy nhiên liệu,train_fix,1
Một pixel của ảnh xám có thể nhận giá trị tối thiểu và tối đa lần lượt là?,0 và 127,-127 và 127,0 và 255,0 và 1048576,train_fix,1
"Nếu trong quá trình khoan, cao độ dung dịch khoan phải luôn cao hơn mực nước ngầm ít nhất 1,5 m, giả sử mực nước ngầm ở -10 m thì cao độ dung dịch khoan tối thiểu phải đạt bao nhiêu?","-11,5 m","-8,5 m","-6,0 m","-5,0 m",train_fix,1
Nội dung chính của bài báo là gì?,Đánh giá chuyển đổi số tại ngân hàng thương mại,Giới thiệu công nghệ OCR và thử nghiệm FPT.AI Reader cho số hóa tài liệu tại Học viện Ngân hàng,Xây dựng hệ thống ERP cho giáo dục,Nghiên cứu ứng dụng AI trong tài chính,train_fix,1
SASRec và BERT4Rec khác nhau chủ yếu ở những điểm nào?,Cả hai đều là mô hình unidirectional và dùng next-item prediction,"SASRec unidirectional – Next-item prediction, BERT4Rec bidirectional – Cloze objective","SASRec dùng CNN, BERT4Rec dùng RNN","SASRec không dùng embedding, BERT4Rec dùng embedding",train_fix,1
"Trong giải thuật DES, kích thước hiệu dụng của khóa là bao nhiêu bit?",48 bit,56 bit,64 bit,128 bit,train_fix,1
Nội dung chính của phần 1 tài liệu Public_107 về Gradient Descent là gì?,Giới thiệu công thức tổng quát của tất cả biến thể GD,Chỉ tập trung vào ứng dụng GD trong mạng nơ-ron sâu,Phân tích chi tiết các thuật toán tối ưu bậc hai,"Trình bày ý tưởng, nguyên lý cơ bản và ví dụ minh họa của Gradient Descent",train_fix,1
Cảm biến nào giúp robot điều chỉnh lực cầm nắm chính xác?,Camera RGB,LiDAR,Radar mmWave,Cảm biến xúc giác và lực,train_fix,1
"Theo tài liệu, để thêm nhãn dữ liệu trong Tableau, bước đầu tiên cần thực hiện là gì?", Chọn New Label trực tiếp trên sheet, Click chọn Data Labels > New Label , Vào mục Settings > Labels,Chọn Groups > Add Label,train_fix,1
Mục đích chính của việc xây dựng Cổng kết nối dịch vụ chứng thực chữ ký số công cộng là gì?,Để thay thế toàn bộ hệ thống email của cơ quan nhà nước.,"Để kết nối dịch vụ chứng thực chữ ký số công cộng với các hệ thống thông tin, đảm bảo tính xác thực, toàn vẹn và chống chối bỏ của thông điệp dữ liệu.",Để quản lý hồ sơ nhân sự điện tử.,Để đồng bộ dữ liệu giữa các cơ quan thuế và hải quan.,train_fix,1
Thông tư Public_257 quy định những yêu cầu kỹ thuật nào đối với phần mềm ký số và phần mềm kiểm tra chữ ký số?,Chứng thư chữ ký số phải có hiệu lực tại thời điểm ký; chữ ký số được tạo bởi khóa bí mật tương ứng với khóa công khai; tính toàn vẹn của thông điệp dữ liệu được bảo đảm bằng so sánh mã băm.,Chứng thư chữ ký số không cần kiểm tra trạng thái thu hồi; chỉ cần xác thực chủ thể ký là đủ.,"Phần mềm ký số có thể bỏ qua yêu cầu tích hợp chứng thư chữ ký số thuộc Danh sách tin cậy nước ngoài, miễn là có chứng thư chữ ký số quốc gia.",Tính hợp lệ của chữ ký số chỉ cần đảm bảo khi giao dịch quốc tế; giao dịch trong nước không bắt buộc tuân thủ các tiêu chí này.,train_fix,1
